/news/	301	/about/
/menu/	PAGE	(同URL保留)
/error-404-page/	301	/about/
/about/	PAGE	(同URL保留)
/lunch-specials-2/	301	/menu/#lunch
/happy-hour/	PAGE	(同URL保留)
/drinks/	301	/menu/#dinner--sake
/appetizers/	301	/menu/#dinner--appetizers
/desserts/	301	/menu/#dinner--dessert
/main-course/	301	/about/
/zen-ramen-sushi-blog/	301	/about/
/2023/09/20/from-traditional-to-trendy-a-beginners-guide-to-ramen/	301	/menu/#dinner--ramen-noodles
/2023/09/26/sushi-history-and-why-it-is-popular/	301	/menu/#dinner--sushi-rolls
/2023/11/16/is-sushi-ramen-actually-healthy-the-benefits/	301	/menu/#dinner--ramen-noodles
/2023/12/15/key-ingredients-preparation-for-sushi/	301	/menu/#dinner--sushi-rolls
/2024/01/12/zen-ramen-sushi-a-culinary-jewel-in-new-york-citys-crown/	301	/menu/#dinner--ramen-noodles
/2024/02/24/a-taste-of-japan-in-the-heart-of-nyc/	301	/about/
/2024/03/21/why-sushi-is-so-popular-in-new-york-city/	301	/menu/#dinner--sushi-rolls
/2024/04/10/nycs-gyoza-little-pockets-big-flavors/	301	/menu/#dinner--appetizers
/2024/05/20/in-the-heart-of-perfect-lunch-bento-boxes-in-manhattan/	301	/menu/#lunch
/2024/06/12/exploring-the-flavors-of-ramen/	301	/menu/#dinner--ramen-noodles
/2024/07/18/top-sushi-pairings-in-nyc-discover-the-best-combinations/	301	/menu/#dinner--sushi-rolls
/2024/10/04/zen-ramen-sushi-our-quality-and-affordable-lunch-specials-near-times-square/	301	/menu/#dinner--ramen-noodles
/2024/12/10/zen-ramen-sushi-second-floor-now-open-in-midtown/	301	/menu/#dinner--ramen-noodles
/2025/07/30/taste-the-difference-premium-bakkafrost-salmon-at-zen-ramen-sushi-in-midtown-nyc/	301	/menu/#dinner--ramen-noodles
/2026/01/15/affordable-sushi-lunch-special-happy-hour-in-midtown-manhattan/	301	/menu/#dinner--sushi-rolls
/2026/01/29/busy-workday-lunch-in-midtown-zen-ramen-sushi-makes-it-easy/	301	/menu/#dinner--ramen-noodles
/zen-ramen-contact/	301	/menu/#dinner--ramen-noodles
/contact-theme/	301	/events-catering/
/	PAGE	(同URL保留)
/aboutus/	301	/about/
/location-theme/	301	/#hours-location
/location/	301	/about/
/2026/05/18/the-art-of-authentic-ramen-what-makes-our-broth-different/	301	/menu/#dinner--ramen-noodles
/2026/05/19/sushi-101-understanding-nigiri-sashimi-and-maki-rolls/	301	/menu/#dinner--sushi-rolls
/2026/05/20/5-japanese-dining-etiquette-tips-for-your-first-visit/	301	/about/
/2026/05/21/authentic-ramen-broth-tonkotsu-shoyu-miso-explained/	301	/menu/#dinner--ramen-noodles
/2026/05/21/what-makes-authentic-japanese-ramen-different-from-fusion/	301	/menu/#dinner--ramen-noodles
/2026/05/22/sushi-rice-101-why-perfect-rice-makes-or-breaks-sushi/	301	/menu/#dinner--sushi-rolls
/2026/05/23/10-essential-ramen-toppings-that-transform-your-bowl/	301	/menu/#dinner--ramen-noodles
/2026/05/24/nigiri-vs-sashimi-vs-maki-understanding-sushi-styles/	301	/menu/#dinner--sushi-rolls
/2026/05/25/how-to-eat-ramen-like-a-local-japanese-dining-etiquette/	301	/menu/#dinner--ramen-noodles
/2026/05/26/fresh-sushi-fish-selection-safety-quality-guide/	301	/menu/#dinner--sushi-rolls
/2026/05/27/chashu-pork-the-art-behind-ramens-best-topping/	301	/menu/#dinner--ramen-noodles
/2026/05/28/wasabi-and-ginger-essential-sushi-condiments-explained/	301	/menu/#dinner--sushi-rolls
/2026/05/29/regional-ramen-styles-from-hokkaido-to-kyushu/	301	/menu/#dinner--ramen-noodles
/2026/05/30/soy-sauce-secrets-choosing-the-right-sauce-for-sushi/	301	/menu/#dinner--sushi-rolls
